DESCRIPTION,CATEGORY
Аренда автотранспортного средства за июль 2022 г,Аренда оборудования и прочая аренда
Jarrow formulas Zinc balance №100 капс,Лекарства
CAAU6342479 (Хранение порожнего контейнера в обычной зоне 40ф),Транспортно-логистические услуги
Мед искусственный вес ,Прочие товары
Производство 3D ролика Coca-Cola,Прочие товары
EG6517 Сланцы взр.,Обувь и средства индивидуальной защиты (СИЗ)
"Жидкое крем-мыло ""Алоэ"" ""Bello Pulito"" ,1л, шт",Бытовая химия и хозтовары
Трос газа ГАЗ 33104 Влд 245 дв. в сборе (Трос-авто),Прочие товары
WELLATON КРЕМ-КРАСКА 5/66 БАКЛАЖАН,Бытовая химия и хозтовары
"Наггетсы куриные с сыром 300г*12 (3,6кг) Россия",Продукты питания и напитки
Плеер Z10,Прочие товары
НОСКИ ТЭГАМ ЖЕНСКИЕ МАХР 6С741,Одежда и текстиль
Бальзам для волос LUXURY REPAIR ESTEL HC (250 мл),Бытовая химия и хозтовары
HE3051 Худи муж.,Одежда и текстиль
Приобретение кондиционер для отдел образование ,Оборудование и инструмент
Йодомарин 100 таб. 100мкг №100 (Berlin-Chemie АG/ГЕРМАНИЯ),Лекарства
"Вагил-ШФ, пор. в бан. 10г №10 (Шаншаров Фарм ТОО/Казахстан)",Автозапчасти и сервис авто
Полумаска противогид.,Прочие товары
Р-К ВАКУУМНОГО УСИЛИТЕЛЯ,Прочие товары
GX2000  Кроссовки муж.,Обувь и средства индивидуальной защиты (СИЗ)
Абонплата за транзит за март 2025 г.,Транспортно-логистические услуги
374100230401400 ШКВОРЕНЬ ПОВОРОТНОГО КУЛАКА (КОМПЛЕКТ),Строительные материалы и отделка
Бухгалтерское обслуживание за  март 2025,Прочие услуги
"А52.21.000-70-01 AE Диск сцепленияведомый, ВгТЗ, дв. АМЗ, с закрытыми пружинами, d=350мм АгроТэк",Прочие товары
8/31 Крем краска De Luxe Silver светло русый золотисто пепельный,Бытовая химия и хозтовары
"Элемент фильтрующий очистки воздуха (из фильтровальной бумаги) KF7721K SP (721-1109560-20,  ЭК.53/ЭК.53-01) ""Специалист""комплект",Строительные материалы и отделка
10-0250 топ Кольцо (Ag 925),Ювелирные изделия и аксессуары
Кран прицепа 2-х,Прочие товары
"Телевизор LG 48"" OLED48A2RLA OLED UHD Smart Silver",Офисная техника и расходники
"МОДУЛЬ ПЕДАЛЬНЫЙ В ПЛАСТМАССОВОМ КОРПУСЕ ГАЗ 3309,33104",Прочие товары
ШАМПУНЬ ПРИНЦЕССА 2В1 ТУТТИ-ФРУТТИ 400МЛ,Бытовая химия и хозтовары
"Аренда Lada 212140, 077RT02, за октябрь 2024г.",Аренда оборудования и прочая аренда
83220 Серьги (Ag 925),Ювелирные изделия и аксессуары
"Аренда Печь элетрическая для прокалки электродов ПСПЭ-50/400(Х-0653), инв. №402, за сентябрь 2024г.",Аренда оборудования и прочая аренда
"RING, PISTON ПОРШНЕВОЕ КОЛЬЦО 15A3945X022",Ювелирные изделия и аксессуары
КЛУБНИКА 250гр шт,Продукты питания и напитки
ОБОДОК ЦВЕТНИЕ ШТ,Прочие товары
"Штукатурка декоративная Dеcor Granit ""Радуга-35"" ""Color Concert"" Розовый жемчуг 24 кг",Строительные материалы и отделка
"Аренда помещения в г.Шымкент, ул.А. Байтурсынова, 10/2, 4-этаж за июнь,июль 2022 г",Аренда оборудования и прочая аренда
Замена прокладки флянца КПП,Автозапчасти и сервис авто
Мед. реабилитация и восстановительное лечение 1-го чел в номере Luxe Абдурахман Айдана Асқарқызы ,Прочие услуги
Урна,Строительные материалы и отделка
КРУПА МАКФА ПЕРЛОВАЯ 9*800ГР,Продукты питания и напитки
Пылесос Samsung VCC4520S3R/XEV,Прочие товары
 Кастрюля алюминевая с крышкой 40л,Прочие товары
Замена амортизатора глушителя,Автозапчасти и сервис авто
В 28345189 (Терм.обработка вагона (без выгрузки/погрузки)),Транспортно-логистические услуги
ЧИПСЫ LAYS 81гр БЕКОН,Продукты питания и напитки
Техническое обслуживание грузо-пассажирского лифта ГП-800,Прочие услуги
М2100-026 Браслет (Ag 925),Ювелирные изделия и аксессуары
Дверь стендовая,Строительные материалы и отделка
"DR37018 Смеситель одноручный для кухни с поворотным изливом, хром",Оборудование и инструмент
GN4338 Футболка жен.,Одежда и текстиль
"Пакет Майка Белый 30*50, 500 гр. (поштучно), в связке 100 шт.",Прочие товары
УПЛОТНИТЕЛЬНОЕ КОЛЬЦО КРУГЛОГО СЕЧЕНИЯ,Ювелирные изделия и аксессуары
Песок  крупный  для стяжки (Shacman),Продукты питания и напитки
"НАПИТОК 7-UP 0,5л ГАЗИРОВАННЫЙ",Продукты питания и напитки
СМЕТАНА ВОСТОК МОЛОКО 380гр 15% СТАК,Продукты питания и напитки
Ремонтно-сварочные работы кун для трактора,Прочие товары
Знак дорожный 2.4 А 900,Прочие товары
GP3334 Футболка дет. спорт.,Одежда и текстиль
ВИСКИ BELL`S 1Л,Продукты питания и напитки
"КОРМ ДЛЯ КОШЕК KITEKAT 1,9КГ МЯСНОЙ ПИР",Зоотовары
"Краска для фасадов ""Радуга-18"" акриловая L-152 10кг",Строительные материалы и отделка
ЛАВАШ ТОНКИЙ 3ШТ,Продукты питания и напитки
масло Shell Helix 10w40 209л (HX7) п/синт.,Продукты питания и напитки
"Печать постеров, Ситилайт Decaux,  1,19*1,75,  Алматы, Август 2022",Рекламные и маркетинговые услуги
"ГЛУШИТЕЛЬ ДЛЯ А/М ГАЗЕЛЬ БИЗНЕС ДВ.УМЗ-4216,CHRYSLER ЕВРО-3",Автозапчасти и сервис авто
Неотрависил апельсин №24 пастилки,Лекарства
Антифриз зеленый G11 5кг,Автозапчасти и сервис авто
Лейкопластырь W-plast воздухопр..бактерицид. осн.тканев №100,Медицинские изделия и расходники
H00101 Кроссовки жен.,Обувь и средства индивидуальной защиты (СИЗ)
СЫР ПЛАВЛЕНЫЙ PRESIDENT 200гр 45% С ГРИБАМИ ВАННА,Продукты питания и напитки
"ARATON dog adult lamb15 кг - корм для взрослых собак, с мясом ягненка /Г",Продукты питания и напитки
услуги связи за ноябрь  2024г,Прочие услуги
уст-во  кафель стена остаток 2-3 этажа,Прочие товары
Обучение Таешев Ералы Тобаниязұлы  (2024-2025учеб. год),"Переводческие, образовательные и консалтинговые услуги"
TBJU7577303 (Дополнительные услуги СВХ.Таможенный осмотр.Завершение транзита),Прочие услуги
Полукомбенизон болотный,Одежда и текстиль
Диклофарм раст.для в/м введения в ампулах 25мг 3мл №5 (Ветпром/БОЛГАРИЯ)//РОССИЯ,Лекарства
1210038732 Серьги (Ag 925),Ювелирные изделия и аксессуары
КРАСКА GARNIER COLOR SENSATION 5.0 СИЯЮЩИЙ СВЕТЛО-КАШТАН,Строительные материалы и отделка
"ПСД: ""Строительство и эксплуатация многофункционального ЖК со встроенными помещениями, магазином и паркингом"" г.Нур-Султан, р-он Есиль, р-он пересечения улиц №31, №Е 357, Е 495"" Архитектурные решения",Прочие услуги
ЙОГУРТЫ FRUTTIS 8% 115ГР КЛУБНИКА/ЯБЛОК/ГРУША,Продукты питания и напитки
H34657 Брюки муж.,Одежда и текстиль
Мед. реабилитация и восстановительное лечение 4-хмест Complex Аханов Кынар ,Прочие услуги
"3160-2912028 Втулка рессорная для а/м УАЗ ""Хантер"" (Уралэластомер)",Автозапчасти и сервис авто
"Эмаль бархатисто матовая для фасадов и интерьеров ""San Marito Velluto 7"" 90YR 83/026 2,7 л",Строительные материалы и отделка
"Циннаризин, таб. 25мг №50 (Sopharma S.A./БОЛГАРИЯ)",Лекарства
TBJU0274769 (Хранение груженного контейнера на СВХ 20ф),Транспортно-логистические услуги
XHCU2361163 (Услуги СВХ ),Прочие услуги
Хомут стальной 20-32 мм для ЛиАЗ-429260 ЯМЗ 534,Автозапчасти и сервис авто
вызов мотера,Прочие услуги
ЙОГУРТ ДОЛЬЧЕ МИНДАЛЬ/КАКОС 160ГР,Продукты питания и напитки
Катушка зажигания  TOYOTA  3.5L  (Masuma) / 9091902255,Автозапчасти и сервис авто
"ПОРОШОК УШАСТЫЙ НЯНЬ Д/СТИРКИ ДЕТСКОГО БЕЛЬЯ 4,5КГ",Бытовая химия и хозтовары
94023038 Серьги (Ag 925),Ювелирные изделия и аксессуары
"Лиотон 1000 гель, гель в тубе 100000ЕД 50г (Берлин-Хеми АГ/ГЕРМАНИЯ)",Лекарства
Масло Президент  Ля Мот соленое 80% 250гр.,Продукты питания и напитки
Организация шкафа управления на базе контроллера Simens Simatic S7,Прочие услуги
"КУ-273 Моноблок с окном ""малый с лентой"", Лаванда (21284)",Строительные материалы и отделка
"Сухарь 32,5 мм (2115) новый дизайн",Продукты питания и напитки
Штанга реактивная обжимная нов/обр 1630-2919010-20СБ,Прочие товары
"НЕКТАР ФРУК.САД МУЛЬТИВИТАМИН 1,93Л",Продукты питания и напитки
HP2256 Кроссовки муж.,Обувь и средства индивидуальной защиты (СИЗ)
LYGU5040441 (Хранение порожнего контейнера в обычной зоне 20ф),Транспортно-логистические услуги
Чистящий порошок,Бытовая химия и хозтовары
МОРОЖЕНОЕ ШИН-ЛАЙН 800ГР МИША ВАНИЛЬ ПАКЕТ 12%,Продукты питания и напитки
"Износостойкая  фотолюминисцентная лента ФЭС-24,без изображения, ширина 25мм",Прочие товары
НАПИТОК FANTA 2л АПЕЛЬСИН ГАЗИРОВАННЫЙ,Продукты питания и напитки
ПОДУШКА ДВИГ. ЗАД.,Прочие товары
ГРИБЫ ГРУЗДИ SPAR 330ГР МАРИННОВАННЫЕ СТЕРИЛИЗОВАН,Продукты питания и напитки
"Йогурт Lactel ""Живой"" с фруктовым наполнителем вишня 1,5% 110гр.",Продукты питания и напитки
Силиконовый рукав (шланг) ID-16 Technik,Прочие товары
16-1055 Колье (Ag 925),Ювелирные изделия и аксессуары
HD7042 Сумка жен.,Одежда и текстиль
GESU4568755 (Дополнительные работы крана по возврату контейнера 40ф),Транспортно-логистические услуги
СЫР БРЕСТ-ЛИТОВСК 150гр 35% ЛЕГКИЙ,Продукты питания и напитки
ШОКОЛАД КОММУНАРКА 100ГР МОЛОЧНЫЙ ЛЕСНОЙ ОРЕХ,Продукты питания и напитки
Коллер Престиж,Прочие товары
"111 Питательная маска для волос Cure, 150 мл",Бытовая химия и хозтовары
АВЕН НАБОР САН B-PROTECT СР-ВО СОЛНЦ/ЗАЩ SPF 50+ 30МЛ,Прочие товары
НАСАДКА Д-ЭЛЕКТ З/Щ ORAL-B 2ШТ KIDS 3+ SPIDER-MAN,Прочие товары
Крестовины кардана УАЗ - 220695,Автозапчасти и сервис авто
"Диагностика вентилятора, объект БЦ Sat NS",Офисная техника и расходники
"Поршень фосфатированный PRO (Molykote) с пальцем, стопорными и поршневыми кольцами, Ø=97 мм, УМЗ-А27",Автозапчасти и сервис авто
"РОЛИКОПОДШИПНИК 21310 ДЛЯ УСТАНОВКИ BBA PT90, ЗАПАСНАЯ ЧАСТЬ ДЛЯ НАСОСОВ BBA ТИПА PT150/PT90",Оборудование и инструмент
Грипго №10,Прочие товары
23011420 Кольцо (Ag 925),Ювелирные изделия и аксессуары
Мед. реабилитация и восстановительное лечение 4-хмест Complex Койшанова Абриза Абдрахмановна ,Прочие услуги
Септолете Тотал таб.д/расс №16 (KRKA d.d./СЛОВЕНИЯ),Лекарства
"Ремень приводной поликлиновой 6РК1220 (ЗМЗ-406, 514)",Автозапчасти и сервис авто
ШИПУЧАЯ БОМБОЧКА ДЛЯ ВАНН FITO BOMB РАССЛАЛЯЮЩАЯ 110ГР,Прочие товары
"ЧИПСЫ LAYS ИЗ ПЕЧИ СМЕТАНЕ 0,085ГР",Продукты питания и напитки
33011349 Серьги (Ag 925),Ювелирные изделия и аксессуары
Балка покрытия PK-BR3/2,Прочие товары
12-0491 Серьги (Ag 925),Ювелирные изделия и аксессуары
"Маркер для белых досок OfficeSpace черный, пулевидный, 2,5мм",Продукты питания и напитки
81153 Кольцо (Ag 925),Ювелирные изделия и аксессуары
"Мин вода Боржоми 0,33л CAN алюминевая банка",Продукты питания и напитки
Термоэтикетки Niimbot 12*40 белый цвет,Прочие товары
"Устройство песчано-цементной стяжки пола п2/1, 2 подъезд",Строительные материалы и отделка
КУРТ КЛАССИЧЕСКИЙ ШОРО,Продукты питания и напитки
"Осуществление авторского надзора по объекту: ""Строительство двух 9-ти этажных жилых домов на 72 квартиры в 8 мкр (Бирлик) г.Талдыкорган Алматинская область (пятно 31)""",Прочие услуги
МАРМЕЛАД ЯШКИНО 250ГР ЗМЕЙКА В КИСЛОЙ ПОСЫПКЕ,Продукты питания и напитки
Ком.услуги за энергоресурсы  за  апрель 2022г,Прочие услуги
Шуруп с шест гол M&X35MM ОЦИНК,Бытовая химия и хозтовары
БРЕС ЛИТОВСК ГОЛЛАНДСКИЙ 200ГР,Прочие товары
Рамка А4,Прочие товары
"ТРУСЫ (БОКСЕРЫ) ДЛЯ МУЖЧИН, ЛОГОТИП НА РЕЗИНКЕ",Прочие товары
Батарейки дюраселл,Прочие товары
Тройник  кан. 87* 110 - 110,Прочие товары
Замена отбойника рессор,Автозапчасти и сервис авто
Аква Марис устр-во лейка+30пак мор соль НДС,Продукты питания и напитки
"Размещение наружной рекламы, Сениор,  Астана,  Июнь 2025(Дисней)",Рекламные и маркетинговые услуги
зажимы крокодил,Строительные материалы и отделка
Транспортные услуги за ноябрь - декабрь 2022г.,Прочие услуги
Услуги авторского надзора-Ремонт кровли адресу: Саина 16/2,Прочие услуги
Сервисное обслуживание печей Merrychef 2295213090179 г. Астана.,Прочие услуги
Желудочные №10 табл.,Лекарства
ЛЕЙКОПЛАСТЫРЬ МОЗОЛЬНЫЙ МУЛЬТИПЛАСТ 2Х10СМ,Медицинские изделия и расходники
КОЛБАСА ИНКОФУД БРЕСТСКАЯ ВАРЕНАЯ В/С ВЕС,Продукты питания и напитки
Допуслуги из отметок,Прочие услуги
Услуги самосвала грузоподъемностью от 20 до 25 тонн Family Town 3 очередь Опер.деят.,Прочие услуги
94-310-00350-1 Кольцо (Ag 925),Ювелирные изделия и аксессуары
ПЕЧЕНЬЕ ЯШКИНО САХАРНОЕ ЗЕБРА ТОПЛЕННОЕ МОЛОКО ВЕС,Продукты питания и напитки
Мед. реабилитация и восстановительное лечение 1-го чел в номере Luxe Гуцуляк Наталя Евстафьевна ,Прочие услуги
ТУШЬ ДЛЯ БРОВЕЙ VIVIENNE SABO 01 ТЕМНО-РУСЫЙ,Прочие товары
"Ошейник для собак водост WAUDOG Waterproof c QR-паспорт,светящ,пласт пряжка-фастекс,Ш25мм,Дл 34-49см",Зоотовары
"Соляной скраб для тела Хипст ""Влюбленные жирафы""  250 г",Бытовая химия и хозтовары
"КОНТ ПОЛИМЕРБЫТ Д/СВЧ 1,5Л 543",Прочие товары
МАЙОНЕЗ BON APPETIT 380ГР ЛЕГКИЙ,Продукты питания и напитки
"Краска ""Комфорт"" V-056 14 кг",Строительные материалы и отделка
Батончик Protein NUT&GO миндаль KA,Продукты питания и напитки
КНОПКА РЫЧАГА СТОЯНОЧНОГО ТОРМОЗА,Прочие товары
Услуга по перевозке груза маршрут Хоргос КНР-Алматы 808SQB05,Транспортно-логистические услуги
Затвор дисковый поворотный фланцевый PN10 с редуктором DN400,Прочие товары
КОМПЛЕКТ В/В ПРОВОДОВ С НАКОНЕЧНИКАМИ ЗМЗ-406 КАТУШКА ВОSСН,Строительные материалы и отделка
ДАТЧИК АБС ПЕРЕДНИЙ ПРАВЫЙ,Автозапчасти и сервис авто
"ВОДА ASU МИНЕРАЛ 0,5Л",Продукты питания и напитки
Фильтр масляный турбонагнетателя ,Автозапчасти и сервис авто
УПОР РЕССОРЫ,Прочие товары
НАБОР СТАКАНОВ LAV 360МЛ 6ШТ,Прочие товары
GX0482 Кроссовки жен.,Обувь и средства индивидуальной защиты (СИЗ)
PPV ИНТЕНСИВНАЯ МАСКА ИНТЕН/ВОСТ 300МЛ,Прочие товары
В 52134053 (Пломба метал..),Прочие товары
"Аквасол беби-DF,ср-во д/промыв. и орашения носа 0,5мл №10 (Досфарм/Казахстан)",Автозапчасти и сервис авто
КОНС ПЕРСИКИ PROMO ПОЛОВИНКИ В СИРОПЕ 425МЛ,Продукты питания и напитки
"Автогрузоперевозка по РК по маршруту Глубокое - Алмата, Струговщиков",Транспортно-логистические услуги
3331604Д Серьги (Ag 925),Ювелирные изделия и аксессуары
Игрушка для кошек АРТ 0182 пластик,Детские товары / гигиена
КОМПЛЕКТ ПАТРУБКОВ ОТОПИТЕЛЯ ГАЗЕЛЬ 3302 БИЗНЕС СИЛИКОН (ДВ.4216)  (5ШТ),Автозапчасти и сервис авто
Антифриз 10кг (красн),Автозапчасти и сервис авто
Corte Giara Shardonnay 0.75,Прочие товары
"Сегмент 066-14 (Дон,Вектор)",Прочие товары
"Фурадонин, таб. 0,05г №20 [QR](Борисовский ЗМП/БЕЛАРУСЬ)",Лекарства
ГЕЛЬ ДЛЯ ДУША OLEA РЕЛАКС ТЕРАПИЯ 300МЛ,Бытовая химия и хозтовары
15100511228 Булавка (Ag 925),Ювелирные изделия и аксессуары
Коммутатор TP-Link TL-SF1016D ( Z-21 ),Прочие товары
"Размещение наружной рекламы, Ситилайт Decaux,  1,19*1,75,  Алматы,  Декабрь 2023",Рекламные и маркетинговые услуги
Бантики фарфалле вес,Лекарства
"Монтаж навеса над ЖД весами и заменой самотечных труб,секторов, реечных задвижек.  ",Автозапчасти и сервис авто
Услуги водоснабжения октябрь 2022г,Прочие услуги
Мед. реабилитация и восстановительное лечение 1-го чел в Business  Сайлауханқызы Айзере ,Прочие услуги
FS0363 Мяч муж.,Прочие товары
"Материнская плата AST-H61-MV ( microATX, 1 xPCI-E ,2 x PCI, 4 х USB, 2 x PS/2, DVI, VGA, HDMI, LAN)",Прочие товары
Чай черный с бергамотом 100г/картон,Продукты питания и напитки
Фруттелла марм-д Змеи XXL 70гр,Продукты питания и напитки
"Колбаса для пиццы пепперони острая ""Златиборац 0,500 кг.",Продукты питания и напитки
Аренда складского помещения 500 м2  за ноябрь 2024г. (с 01.11.24г.- по 15.11.24г.),Аренда оборудования и прочая аренда
Термопленка AGFA DRYSTAR DT5 B 35  x 43 №100,Прочие товары
IG7328 Кроссовки муж.,Обувь и средства индивидуальной защиты (СИЗ)
ПРОКЛАДКИ BELLA 10шт NOVA MAXI,Бытовая химия и хозтовары
"Краска моющаяся ""Радуга-210"" акриловая K- 072 5 кг",Строительные материалы и отделка
"Наб.шок.кон.Рандеву х/к 0,235",Прочие товары
Резьба 32,Строительные материалы и отделка
"Краска ""Комфорт"" H-109",Строительные материалы и отделка
КРАБОВЫЕ ПАЛОЧКИ COLUMBUS 200ГР,Одежда и текстиль
Аренда помещения согласно договора за декабрь 2022,Аренда оборудования и прочая аренда
"Техническое обслуживание системы автоматической пожарной сигнализации в помещении торгового дома ""Эктос"" в помещениях материального склада,холодного склада по адресу: г.Семей,ул.Пархоменко,137 ""А""  за август 2022 г.",Продукты питания и напитки
МАМАКО КАША НА КОЗЬЕМ МОЛОКЕ 200г КУКУРУЗА+ТЫКВА+АБРИК 4МЕС+,Продукты питания и напитки
"ХОНИНГОВАННЫЕ ТРУБЫ ДЛЯ ГИЛЬЗЫ (ТОЛЕРАНС:Н8/Н9) НАРУЖНЫЙ ДИАМЕТР (ММ) 273. ВНУТРЕННИЙ ДИАМЕТР  (ММ) 241,3,",Прочие товары
сенаж,Прочие товары
СЛИВКИ Д/КОФЕ CAFFITO 500ГР 3004,Продукты питания и напитки
В 29396793 (Терм.обработка вагона (без выгрузки/погрузки)),Транспортно-логистические услуги
АТОРВАСТАТИН-ЛФ 40мг №30 таб п.о.,Лекарства
АСКОРБИНОВАЯ КИСЛОТА С ГЛЮКОЗОЙ СОФИЯ N10 таб д/рассас,Лекарства
"Размещение на Ситилайт(2),  Шымкент,  Сентябрь 2023",Прочие товары
"ДРАЖЕ КРЕКЕР РЫБКА В МОЛ,ШОК,ГЛАЗУРИ ВЕС 89805 KDV",Продукты питания и напитки
"Эмаль ультрастойкая для фасадов и интерьеров ""Arcobaleno Castello"" Y-499 9 л",Строительные материалы и отделка
23188А.5 Подвеска (Ag 925),Ювелирные изделия и аксессуары
33313149 Серьги (Ag 925),Ювелирные изделия и аксессуары
Возмещение расходов по природному газу за октябрь 2022г,Прочие услуги
Ремонт  охранной   сигнализации,Прочие товары
Автолампа HB4 51W P22b,Прочие товары
SJLU4003327 (Терм.обработка контейнера доставленного автотранспортом 40ф),Транспортно-логистические услуги
Трипод Noname K28,Прочие товары
"круглосуточный пост по обеспечению охраны имущества юридического лица, осуществлению контрольно-пропускного режима на территорию объекта по адресу:Западно-Казахстанская область, Казталовский район, п.Казталовка ул.Шарафутдинова №1, за декабрь 2023г.",Прочие товары
TKRU4233690 (Хранение груженного контейнера на СВХ 40ф),Транспортно-логистические услуги
ДЕСЕРТНАЯ МАССА МАСЛЁНКОВО 350гр ЧЕРНОСЛИВ ГР.ОРЕХ,Продукты питания и напитки
Услуги по аренде специальной техники. Аренда (прокат) экскаватора- погрузчика с ковшом на объекте Ак Дидар 4-8- ЖК Ак Дидар 14,Аренда оборудования и прочая аренда
"3302-8511188# комплект брызговиков для а/м ГАЗель Next задних 270 мм (лев., прав.) (2 шт.) ТЭП (Балаково)",Строительные материалы и отделка
Преобразователь давления Ceraphant PTP31B  PTP31B-AA7M1PGAWBJ+Z1,Оборудование и инструмент
Шнур питания,Прочие товары
TKRU3141162 (Хранение груженного контейнера в обычной зоне 20ф),Транспортно-логистические услуги
КОЛБАСА РУБИКОМ 300ГР СЕРВЕЛАТНАЯ П/К,Продукты питания и напитки
EI0837 Футболка жен.,Одежда и текстиль
XHCU2361815 (Хранение груженного контейнера в обычной зоне 20ф),Транспортно-логистические услуги
"Размещение наружной рекламы на ""Двойной Ситилайт"",  Астана,  Сентябрь 2023",Рекламные и маркетинговые услуги
ТАРЕЛКИ ПРАЗДНИЧНЫЕ ВЕСЕЛУХА 6ШТ,Прочие товары
